"","009A.kraken","009B.kraken","012A.kraken","012B.kraken","015A.kraken","015B.kraken","022A.kraken","022B.kraken","024A.kraken","033A.kraken","033B.kraken","035A.kraken","035B.kraken","038A.kraken","038B.kraken","049A.kraken","049B.kraken","052A.kraken","052B.kraken","057A.kraken","057B.kraken","068A.kraken","068B.kraken","1_1bx.kraken","12_1by.kraken","12_2by.kraken","12_3by.kraken","1_2bx.kraken","1_3bx.kraken","15_1bx.kraken","15_1bz.kraken","15_2bz.kraken","15_3bx.kraken","15_bx.kraken","19_1bx.kraken","19_2bx.kraken","20_1bx.kraken","20_2bx.kraken","20_3bx.kraken","22_2bx.kraken","3_1by.kraken","3_2by.kraken","3_3by.kraken","6_1bx.kraken","6_2bx.kraken","6_3by.kraken","7_3bx.kraken"
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Planococcus|s__Planococcus_plakortidis",20,15,7,21,1,0,5,2,14,12,16,5,1,5,5,6,15,1,2,12,27,10,8,12,4,12,13,10,14,1,12,26,18,8,1,12,12,1,0,10,22,15,27,3,2,9,28
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Planococcus|s__Planococcus_halocryophilus",0,9,10,13,6,5,4,7,0,19,16,4,1,4,0,2,3,14,2,0,2,3,8,0,1,3,5,4,0,4,47,5,15,0,5,3,1,1,0,36,1,2,2,0,0,4,2
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Planococcus|s__Planococcus_sp_L1015",3,5,4,13,3,4,4,4,24,10,5,7,3,11,5,8,13,24,4,6,5,68,18,2,3,3,9,4,1,0,9,0,20,1,1,2,2,3,1,29,4,8,5,0,0,5,16
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Planococcus|s__Planococcus_sp_PAMC_21323",3,8,8,0,0,7,9,4,0,38,12,3,0,4,5,9,4,6,2,3,4,7,4,3,1,21,14,4,3,1,3,3,20,3,1,6,0,2,0,1,6,7,11,1,0,2,4
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Planococcus|s__Planococcus_faecalis",17,3,1,2,0,1,3,3,7,5,6,14,3,1,2,6,3,3,3,2,3,3,3,2,3,4,0,3,0,5,2,0,1,0,1,1,0,0,1,8,12,14,8,1,1,0,0
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Sporosarcina|s__Sporosarcina_psychrophila",3,8,12,16,15,28,11,15,1,28,14,13,4,14,15,9,20,33,33,3,4,21,12,11,4,14,17,14,5,3,44,6,20,4,11,9,4,1,6,48,9,8,13,2,4,9,1
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Kurthia|s__Kurthia_sp_11kri321",3,9,13,5,9,20,25,24,0,116,51,14,13,23,23,27,33,32,19,10,17,8,3,11,4,7,7,18,9,5,42,1,90,2,13,12,6,14,1,51,20,36,20,0,1,16,18
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Jeotgalibacillus|s__Jeotgalibacillus_malaysiensis",23,72,11,6,2,17,5,25,4,21,9,12,5,26,41,8,12,35,19,14,6,25,20,6,6,19,11,17,6,8,19,2,57,3,3,9,8,4,2,48,5,13,9,0,0,14,11
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Solibacillus|s__Solibacillus_silvestris",9,27,24,10,8,18,6,18,0,50,33,8,4,39,23,39,12,15,14,16,18,16,12,16,13,15,7,30,14,7,37,2,42,2,7,10,9,12,5,19,8,4,5,2,3,20,10
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Planococcaceae|g__Rummeliibacillus|s__Rummeliibacillus_stabekisii",13,25,16,6,24,21,14,15,4,63,37,19,13,42,27,18,20,19,23,15,22,15,19,10,7,5,3,21,7,11,49,1,45,3,5,1,8,9,1,45,26,20,63,1,0,9,9
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae|g__Listeria|s__Listeria_ivanovii",2,15,12,3,3,11,9,29,3,44,23,19,20,27,18,17,45,21,40,16,9,17,5,17,5,3,4,24,10,10,46,4,55,2,5,5,7,8,0,41,5,7,5,0,1,6,16
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae|g__Listeria|s__Listeria_monocytogenes",16,53,37,30,57,169,28,41,3,122,48,17,31,43,47,33,26,55,54,20,22,29,40,27,17,14,17,72,20,13,71,5,46,10,18,15,24,9,2,87,13,17,19,5,5,13,28
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae|g__Listeria|s__Listeria_seeligeri",13,6,13,21,6,20,5,6,4,25,15,8,21,18,9,7,14,24,21,14,21,11,8,6,6,15,9,19,0,0,1,4,18,2,4,0,1,0,0,36,0,0,0,2,1,61,3
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae|g__Listeria|s__Listeria_innocua",0,11,4,2,2,0,4,8,1,10,6,9,0,5,26,0,3,56,15,8,23,10,22,11,1,2,0,14,2,4,22,0,9,0,0,5,0,4,1,6,1,4,3,0,0,0,1
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Listeriaceae|g__Listeria|s__Listeria_welshimeri",2,12,11,23,9,19,4,30,0,19,12,23,11,11,17,7,19,14,23,2,5,31,15,5,3,13,6,8,1,2,21,4,26,0,0,2,4,0,0,53,11,21,16,0,0,3,10
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Sporolactobacillaceae|s__[Bacillus]_selenitireducens",9,17,19,6,1,7,9,8,6,16,13,10,1,14,19,11,27,5,49,6,4,7,12,12,10,12,37,25,5,10,5,3,5,6,4,13,3,3,1,15,15,24,14,0,2,4,9
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_polymyxa",11,15,21,16,5,27,20,61,20,58,60,23,24,49,32,19,52,65,21,10,39,49,29,17,15,33,41,44,6,11,38,12,54,33,10,35,13,8,2,101,30,43,38,0,3,24,25
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_larvae",7,19,16,14,1,3,3,9,2,19,12,8,1,16,14,3,17,6,9,14,21,11,2,9,2,4,7,19,3,8,4,1,18,1,6,23,3,2,0,26,10,11,19,2,0,12,6
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_durus",16,21,29,73,6,29,12,70,13,34,43,22,29,39,34,42,43,8,113,19,9,21,46,15,8,60,43,33,18,0,22,13,25,24,6,31,20,7,1,69,46,23,19,5,45,29,21
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_peoriae",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_mucilaginosus",29,41,28,38,15,38,20,24,55,38,71,43,24,47,35,36,48,24,57,7,48,71,41,29,11,59,66,53,22,8,68,42,46,24,13,25,16,15,3,177,70,66,176,4,12,37,37
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_terrae",0,12,5,4,1,9,3,32,28,40,9,16,4,8,13,7,18,53,8,3,15,9,28,5,3,9,10,12,9,1,0,17,11,4,10,14,12,1,0,19,5,8,11,0,4,7,13
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_borealis",8,15,7,25,4,4,22,6,0,15,46,8,7,18,16,5,36,29,28,9,23,16,40,10,6,24,36,8,5,2,15,30,19,14,3,7,4,7,5,73,4,3,8,8,6,2,10
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_naphthalenovorans",11,3,14,16,8,7,5,1,0,10,7,37,8,6,5,6,23,6,6,1,2,31,11,13,3,20,17,33,15,1,2,1,2,2,7,19,11,0,1,27,9,36,41,3,3,7,4
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_stellifer",63,68,22,17,1,1,4,4,120,12,25,9,6,14,25,13,19,39,24,9,30,17,42,26,16,51,28,33,22,8,37,29,39,40,3,19,12,5,4,59,21,15,12,3,6,13,26
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_graminis",5,4,15,30,2,5,5,1,6,7,7,4,1,6,3,11,9,1,9,32,2,9,6,11,2,29,6,18,5,1,3,8,12,2,1,25,1,1,0,16,11,10,11,1,1,9,8
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_odorifer",2,1,6,5,0,6,13,3,0,11,7,15,9,2,4,7,5,29,3,4,1,20,14,9,1,6,3,10,7,3,1,3,0,0,8,13,23,2,1,20,19,17,6,5,3,1,4
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_sp_JDR-2",3,7,4,7,2,7,2,1,1,7,6,2,8,10,14,8,6,2,2,1,13,15,1,21,10,8,5,25,21,3,7,4,2,2,0,32,15,0,0,4,14,27,26,6,1,7,14
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_sabinae",4,19,14,30,4,21,8,9,17,4,22,10,5,16,19,8,29,4,18,5,15,11,13,14,8,24,40,26,7,3,10,47,28,16,5,20,13,8,3,60,12,9,8,2,7,10,42
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_sp_Y412MC10",7,29,12,40,1,4,17,36,12,46,72,5,18,16,27,5,28,77,32,12,7,27,34,6,8,15,39,15,7,1,8,12,27,9,0,4,0,0,6,42,12,15,12,1,3,9,12
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_riograndensis",32,20,21,62,22,9,28,37,8,67,81,31,25,26,11,18,27,39,34,23,19,14,39,6,8,16,21,14,1,5,34,1,10,2,2,8,3,3,4,35,15,9,6,4,0,0,17
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_xylanexedens",2,4,0,2,1,3,9,9,4,5,12,7,2,15,15,6,9,18,20,4,4,7,21,6,2,14,5,16,2,0,3,5,22,1,1,4,3,6,2,24,5,3,4,0,0,4,7
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_beijingensis",32,32,30,33,3,12,8,10,48,33,32,22,31,32,20,39,57,0,4,14,24,40,14,21,13,52,96,54,15,6,31,9,20,6,15,67,25,2,9,60,34,29,34,6,3,10,55
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_swuensis",14,73,9,15,1,2,5,6,4,13,25,28,8,4,0,14,3,29,5,4,2,4,3,8,6,14,3,18,2,1,18,25,28,3,0,12,6,0,3,21,17,15,17,0,2,2,11
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_yonginensis",9,22,20,25,7,42,3,36,31,10,16,18,18,37,27,8,16,14,11,18,4,49,27,12,16,23,24,11,8,2,4,4,27,1,5,19,2,2,6,13,4,12,11,8,4,8,28
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_sp_FSL_P4-0081",2,3,9,14,6,11,6,8,2,43,47,1,5,17,5,2,5,5,5,7,6,22,9,29,12,13,7,7,28,5,8,11,6,8,11,4,18,27,20,10,0,2,2,19,19,20,25
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_sp_FSL_R5-0345",4,3,3,4,2,2,4,9,2,2,1,4,1,3,1,24,8,2,2,1,4,2,10,9,7,2,1,6,8,0,2,5,2,1,1,3,6,1,2,19,4,18,14,1,7,2,3
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_sp_FSL_R5-0912",9,69,26,19,0,7,7,1,4,7,11,5,0,13,4,11,25,2,10,6,7,8,5,7,5,10,4,8,4,3,4,13,28,3,3,3,14,0,3,6,5,5,6,3,3,0,21
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_sp_FSL_R7-0273",11,20,11,10,10,11,4,18,8,8,13,15,7,4,4,5,24,14,24,3,6,31,42,10,7,14,8,12,8,11,29,5,2,6,2,12,2,3,0,21,4,11,11,3,1,7,9
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_sp_FSL_R7-0331",32,9,47,24,9,7,10,10,49,29,16,11,8,18,8,24,53,7,31,4,8,23,52,14,1,19,13,39,10,12,18,11,26,8,7,36,15,1,3,19,9,19,22,2,5,4,18
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_sp_FSL_H7-0357",8,20,10,2,6,18,5,27,32,24,15,17,13,18,10,27,22,28,98,26,9,10,13,12,5,23,25,23,13,4,3,16,4,10,4,19,15,1,2,11,20,7,8,0,1,10,13
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_sp_FSL_H7-0737",0,1,5,15,30,71,4,31,1,15,22,18,21,6,1,14,19,9,25,11,14,15,19,1,3,8,11,5,0,0,1,5,6,4,0,0,3,0,1,26,1,5,2,1,1,1,4
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_sp_IHBB_10380",6,7,7,5,12,36,2,19,3,7,14,8,2,8,7,22,24,29,23,6,7,14,21,23,12,10,4,8,15,11,9,6,5,6,20,9,15,14,15,16,8,20,14,25,24,12,6
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_bovis",9,2,2,5,4,10,1,27,5,19,5,7,7,10,13,12,33,31,15,14,16,13,10,16,9,21,1,9,4,6,7,27,12,13,6,14,2,5,6,17,12,15,18,1,4,3,10
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_sp_32O-W",16,12,26,31,7,6,12,1,22,18,30,20,9,36,30,14,50,1,71,13,22,20,31,50,4,34,33,91,18,7,15,16,11,7,2,36,5,1,1,52,31,25,39,5,5,22,37
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Paenibacillus|s__Paenibacillus_sp_LPB0068",12,38,24,48,6,19,30,46,8,46,35,23,14,53,88,38,99,94,74,29,48,51,24,12,7,34,16,17,3,9,49,6,53,6,5,13,6,10,2,105,12,48,53,1,8,11,10
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Brevibacillus|s__Brevibacillus_brevis",4,7,11,34,8,28,2,3,2,13,20,9,4,16,16,15,20,17,17,10,20,16,18,9,20,46,24,16,11,1,34,30,32,60,3,7,7,2,8,52,13,14,9,3,6,9,10
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Brevibacillus|s__Brevibacillus_laterosporus",6,4,6,5,4,13,8,25,3,20,17,17,4,12,32,2,20,22,20,1,3,8,5,4,6,1,9,15,3,4,76,3,11,2,1,3,0,3,0,75,10,12,4,1,4,13,8
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Thermobacillus|s__Thermobacillus_composti",18,18,24,40,2,1,4,9,2,38,89,24,14,33,52,12,40,19,23,8,11,32,19,20,16,63,64,79,16,8,19,57,68,33,8,41,31,13,7,52,71,34,51,3,11,22,89
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Paenibacillaceae|g__Aneurinibacillus|s__Aneurinibacillus_sp_XH2",25,13,23,43,7,10,12,25,13,80,116,37,20,20,33,39,35,34,83,11,15,56,48,3,3,27,19,27,3,10,42,4,16,0,5,15,18,0,5,52,16,34,20,1,3,0,10
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Alicyclobacillaceae|g__Alicyclobacillus|s__Alicyclobacillus_acidocaldarius",48,44,40,52,11,64,12,69,60,25,38,30,12,87,44,32,52,48,32,35,62,52,26,63,32,130,149,128,56,13,53,99,135,101,20,64,18,7,8,116,60,48,79,9,20,72,107
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Alicyclobacillaceae|g__Kyrpidia|s__Kyrpidia_tusciae",4,14,17,42,11,37,6,20,7,18,74,10,23,25,9,18,9,29,16,4,10,14,36,8,7,14,38,36,5,4,8,14,14,10,9,18,8,1,5,107,16,17,12,4,3,12,16
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Thermoactinomycetaceae|g__Novibacillus|s__Novibacillus_thermophilus",22,16,5,28,2,4,5,4,9,15,15,14,4,24,7,15,15,14,9,16,8,34,14,19,3,14,23,43,7,9,13,9,12,7,12,19,27,1,5,20,39,40,36,5,2,9,34
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|g__Gemella|s__Gemella_sp_oral_taxon_928",303,430,829,685,430,1024,2302,4472,775,6055,1828,3994,1789,831,2179,1827,3482,2145,1048,942,1155,266,420,2495,286,443,366,2827,580,161,118,53,1399,122,106,399,435,501,47,1193,1888,4176,3632,212,143,496,639
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|g__Exiguobacterium|s__Exiguobacterium_antarcticum",8,5,5,1,0,2,7,1,30,7,0,1,0,2,3,11,13,2,0,1,0,21,7,2,0,3,2,31,0,7,21,0,1,0,9,12,0,0,0,15,0,0,1,0,0,1,0
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|g__Exiguobacterium|s__Exiguobacterium_sibiricum",4,1,0,1,1,4,1,20,0,3,5,4,1,3,4,3,5,0,9,2,1,0,2,2,0,11,3,7,2,4,39,0,17,0,3,14,2,2,0,24,17,3,8,0,0,6,30
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|g__Exiguobacterium|s__Exiguobacterium_sp_AT1b",8,8,16,3,4,4,24,7,134,37,30,17,4,95,39,30,48,14,14,33,21,12,5,31,7,17,26,63,26,3,58,0,37,1,13,13,11,2,2,13,10,22,76,3,1,1,32
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|g__Exiguobacterium|s__Exiguobacterium_sp_ZWU0009",0,1,0,0,2,0,0,1,2,0,1,4,3,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|g__Exiguobacterium|s__Exiguobacterium_sp_MH3",6,1,2,13,0,2,0,1,1,5,3,5,1,1,3,2,4,0,2,2,0,9,6,0,0,1,8,4,0,1,3,1,2,0,0,1,2,2,0,12,0,7,3,0,1,2,6
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|g__Exiguobacterium|s__Exiguobacterium_sp_U13-1",0,0,2,0,0,0,0,1,1,0,0,0,1,0,7,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_gordonii",15317,182554,84570,14132,98249,186089,7400,62610,31973,93493,130386,15601,9345,426209,89578,6899,42297,111129,159420,1366224,1563038,844562,1103409,1384,5561,4875,1023,48759,822,18263,79497,2642,140706,1565,2262,285,18619,15923,81,9918,657,990,139,145,2538,27779,9388
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_oralis",57169,300684,177719,13121,90979,157098,58268,209563,11035,588117,174964,141144,33151,238713,91041,36954,35391,81355,28298,134797,184898,27717,104208,13239,59738,27114,15040,106369,5781,6608,3141,1391,113705,3591,11036,1863,35426,44553,397,77505,4661,5116,831,250,2575,14864,17570
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_salivarius",1607,10564,1822,811,1371,2460,451,1590,681,3182,1302,5139,988,6182,2010,378,955,1402,1277,14508,4736,7213,3729,551,499,369,183,2492,289,4684,2330,326,1506,166,2417,314,351,345,12,1498,73,1419,40,52,76,1261,431
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sanguinis",5126,237018,69053,38675,15249,39178,4979,98297,19868,64893,63668,14922,9092,35878,49029,7189,108380,91214,260775,101957,424658,65758,65865,2291,6121,7446,1244,50202,602,112515,538824,13033,15943,3502,635,121,90352,80232,208,5608,119,189,87,149,248,3427,45236
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_suis",297,2172,1321,404,514,1348,643,2094,1415,2547,1175,1570,476,1022,1545,309,379,785,984,2060,3659,1959,1711,171,273,231,116,904,77,481,989,70,733,92,96,140,191,214,7,669,180,325,323,8,23,214,282
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_thermophilus",378,3908,675,187,683,1071,190,561,242,1346,493,1493,287,3644,589,174,267,460,402,13366,1892,1390,895,82,263,140,54,540,37,2662,1632,242,630,103,1248,90,157,223,9,539,44,114,17,27,59,729,162
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mutans",9097,17056,1336,318,39975,80358,908,1260,8052,39823,1338,38771,11186,87186,574,415,352,5931,27242,75529,31906,11258,3106,166,87,1125,87,357,15,337,282,20,279,37,229,285,121,112,6,758,63,173,87,24,43,871,86
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_agalactiae",901,726,770,234,419,572,682,1398,1422,1262,429,4661,976,598,825,280,453,449,1451,942,1593,517,633,294,163,151,88,679,59,379,443,33,354,44,103,245,115,62,3,398,197,1129,601,36,22,209,179
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pneumoniae",5464,43417,24136,1718,13449,20502,8028,25039,1668,63243,17898,18389,4843,12442,10221,3882,3263,10419,4323,18159,28117,3706,13648,1800,6726,2958,1687,11695,848,1487,1416,259,13571,541,1937,1040,1993,3380,84,9279,1111,604,186,130,388,1989,3449
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_pyogenes",869,513,472,358,894,7726,600,973,185,1343,451,2350,533,603,1774,1522,898,1564,9994,2157,890,358,321,350,92,124,133,1053,123,449,301,42,239,45,81,534,226,96,27,428,748,1806,1684,96,80,228,286
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parasanguinis",28184,133076,9512,13313,1610,3663,844,2781,1083,7773,2585,86507,17459,64634,26264,1886,14729,2078,2563,10706,12230,194697,26862,1806,2153,2332,273,5899,272,96276,12178,968,5717,470,7567,3946,361,439,24,25518,537,4086,120,41,104,1507,2405
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_iniae",19,203,126,41,99,119,17,110,35,360,180,157,47,95,119,33,50,159,124,186,239,87,69,11,33,31,13,70,8,40,95,4,83,3,16,8,18,18,3,104,14,14,14,2,2,18,34
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_parauberis",17,226,111,19,54,81,26,69,18,270,121,131,36,95,91,26,38,76,55,186,171,106,104,18,31,25,7,77,10,21,65,3,63,3,19,14,15,22,1,98,10,19,10,0,2,20,25
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_uberis",27,152,132,30,21,85,34,101,15,298,122,82,36,63,87,27,31,59,45,131,156,110,113,12,28,23,12,58,9,37,88,1,156,8,15,2,15,21,0,78,4,7,10,0,1,16,24
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_mitis",10435,102563,40296,2730,21411,30880,12470,38204,2459,109719,31115,26151,7359,22463,17222,6040,5439,15175,7561,30627,40695,6713,23608,2935,14075,5322,2721,16596,1380,1919,2305,516,19270,1006,3594,1400,3950,5312,195,14237,3739,1729,1017,336,821,3997,7815
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_cristatus",5055,112875,64487,42231,6251,95891,8737,19646,28208,124981,132430,5822,8874,39596,159575,9901,15462,30053,32174,152719,390593,61290,63395,1132,14435,16217,3613,32989,702,7391,21262,4451,23742,7017,540,145,5329,12490,258,40688,427,541,101,435,535,1834,16279
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_macedonicus",15,62,138,29,22,14,6,9,298,23,20,52,30,13,10,12,18,27,55,74,250,50,101,6,8,7,3,67,2,91,17,5,27,9,7,4,1,18,0,32,2,0,0,0,0,11,47
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_infantarius",38,209,193,40,94,176,68,179,35,215,123,148,56,502,435,21,45,157,197,333,657,163,250,10,27,16,24,85,4,59,47,11,132,5,16,13,28,26,1,109,3,15,5,2,0,40,40
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_dysgalactiae",336,332,599,489,236,565,567,2405,1077,5462,1981,1340,280,509,325,1614,1662,817,627,758,1001,522,485,264,89,140,166,1177,123,203,152,28,218,34,75,288,186,327,30,266,561,1192,1402,48,40,355,155
"d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_equi",478,475,634,336,298,864,724,1634,996,2210,687,2431,501,707,581,2058,1710,655,777,903,1177,644,411,645,98,193,256,1798,253,319,528,54,443,21,261,728,582,97,56,819,841,2728,2428,123,139,1175,367
